institute_name,program_name,tests_accepted,test_cutoff,city_name,program_duration,country_name,program_duration_text,final_placements_domestic_salary_avg,specialization_name,state_name,tution_fees_local_country_student
institute of management technology,post graduate diploma in management,"CAT, XAT, CMAT, GMAT",1:NA   | 2:NA   | 3:NA   | 5:NA   | ,hyderabad,2,India,2 Years,717000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management",Telangana,1200000
praxis business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:70  | 2:70     | 3:80     | 4:90  | 5:550  | 11:90  | ,kolkata,2,India,2 Years,715000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Business Analytics, E-Commerce",west bengal,927000
sdm institute of management development,post graduate diploma in management,"CAT, XAT, CMAT, GMAT, NMAT",1:70  | 2:70  | 3:NA  | 5:NA  | 8:NA  | ,mysore,2,India,2 Years,714000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",karnataka,1095000
xavier institute of management and entrepreneurship,post graduate diploma in finance management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:70 | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,bangalore,2,India,2 Years,708000,Finance,karnataka,500000
xavier institute of management and entrepreneurship,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA   | 2:NA   | 3:NA   | 4:NA   | 5:75% | 11:NA   | ,bangalore,2,India,2 Years,704000,Operations \/ SCM \/ Production,karnataka,1000000
choudhary charan singh national institute of agricultural marketing,post graduate diploma in agri business management,"CAT, CMAT",1:64  | 3:NA  | ,jaipur,2,India,2 Years,700000,Agri \/ Food \/ Rural Business,rajasthan,680000
alliance school of business alliance university,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, NMAT, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 5:NA  | 8:NA  | 11:NA  | ,bangalore,2,India,2 Years,700000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Strategy, Hospitality \/ Tourism, International Business, Retail Management, Media & Communication, Entrepreneurship & Family Business",karnataka,1350000
crescent school of business,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA, TANCET",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | 16:NA | ,chennai,2,India,2 Years,700000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Business Analytics, International Business, Entrepreneurship & Family Business",tamil nadu,650000
jindal global business school,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, GRE, NMAT, Others, ATMA",1:50   | 2:50 | 3:50   | 4:50   | 5:400 | 6:270   | 8:160   | 10:NA   | 11:50   | ,sonepat,2,India,2 Years,700000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Business Analytics, Entrepreneurship & Family Business",haryana,1100000
adani institute of infrastructure management,post graduate diploma in management,"CAT, XAT, MAT, CMAT, GMAT, ATMA",1:NA|2:NA|4:NA|3:NA|5:NA|11:NA,ahmedabad,2,India,2 Years,700000,Infrastructure \/ Real Estate,gujarat,760000
aditya institute of management studies and research,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, KMAT, PGCET",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 14:NA | 17:NA | ,bangalore,2,India,2 Years,700000,"Finance, Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma, Entrepreneurship & Family Business",karnataka,762000
doon business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,dehradun,2,India,2 Years,700000,"Finance, Marketing, Human Resources, International Business",uttarakhand,610500
deviprasad goenka management college of media studies,post graduate diploma in media & communication management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,mumbai,2,India,2 Years,700000,Media & Communication,maharashtra,645000
balaji institute of telecom and management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | ,pune,2,India,2 Years,700000,"Operations \/ SCM \/ Production, Business Analytics",maharashtra,660000
nit trichy department of management studies,master of business administration,CAT,1:83  | ,trichy,2,India,2 Years,690000,"Finance, Marketing, Human Resources",tamil nadu,317000
christ university institute of management,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, GRE, ATMA",1:60 | 2:70   | 3:70   | 4:600   | 5:450   | 6:300   | 11:70   | ,bangalore,2,India,2 Years,685000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",karnataka,769000
international management institute,post graduate diploma in management,"CAT, XAT, CMAT, GMAT",1:NA  | 2:NA  | 3:NA  | 5:NA  | ,bhubaneswar,2,India,2 Years,684000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",orissa,885000
itm business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 5:NA  | 11:NA  | ,chennai,2,India,2 Years,680000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",tamil nadu,895000
asia pacific institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 5:NA  | 11:NA  | ,new delhi,2,India,2 Years,675000,"Operations \/ SCM \/ Production, Information Technology, Human Resources",delhi,965000
iilm institute for higher education,post graduate diploma in management,"MAT, CAT, CMAT, XAT, GMAT, ATMA",4:NA|1:NA|3:NA|2:NA|5:NA|11:NA,new delhi,2,India,2 Years,675000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Entrepreneurship & Family Business",delhi,1410000
iilm institute for business and management,post graduate diploma in management,"CAT, CMAT, MAT",1:NA | 3:NA | 4:NA | ,gurgaon,2,India,2 Years,675000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",haryana,810000
kejriwal institute of management and development studies,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,ranchi,2,India,2 Years,675000,"Finance, Marketing, Human Resources",jharkhand,198000
christ institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 11:NA  | ,ghaziabad,2,India,2 Years,670000,"Finance, Marketing, Human Resources",uttar pradesh,700000
xavier institute of management and entrepreneurship,post graduate diploma in human resource management,"CAT, XAT, CMAT, ATMA, MAT, GMAT",1:NA|2:NA|3:NA|11:NA|4:NA|5:NA,bangalore,2,India,2 Years,670000,Human Resources,karnataka,1000000
xavier institute of management and entrepreneurship,post graduate diploma in marketing management,"CAT, XAT, CMAT, ATMA, MAT, GMAT",1:NA|2:NA|3:NA|11:NA|4:NA|5:NA,bangalore,2,India,2 Years,670000,Marketing,karnataka,1000000
xavier institute of management and entrepreneurship,post graduate diploma in international business & business analytics,"CAT, XAT, CMAT, ATMA, MAT, GMAT",1:NA|2:NA|3:NA|11:NA|4:NA|5:NA,bangalore,2,India,2 Years,670000,"Business Analytics, International Business",karnataka,1000000
the foundation for liberal and management education,master of business administration,"XAT, MAT, CMAT, MH-CET, CAT",2:NA|4:NA|3:NA|7:NA|1:NA,pune,2,India,2 Years,669000,"Marketing, Operations \/ SCM \/ Production, Human Resources, Media & Communication, Digital Media, Entrepreneurship & Family Business",maharashtra,1060000
amity business school,master of business administration,"CAT, XAT, MAT, GMAT, NMAT",1:85 | 2:85 | 4:650 | 5:550 | 8:60 | ,gautam buddha nagar,2,India,2 Years,667000,"Finance, Marketing, Human Resources, International Business",uttar pradesh,1344000
the foundation for liberal and management education,master of business administration,"XAT, MAT, CMAT, MH-CET, CAT",2:NA|4:NA|3:NA|7:NA|1:NA,pune,2,India,2 Years,664000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Media & Communication, Digital Media, Entrepreneurship & Family Business",maharashtra,1160000
bml munjal university,master of business administration,"CAT, XAT, GMAT, MAT, NMAT",1:NA|2:NA|5:NA|4:NA|8:NA,gurgaon,2,India,2 Years,660000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Business Analytics",haryana,1300000
international management institute,post graduate diploma in management,"CAT, XAT, GMAT",1:NA  | 2:NA  | 5:NA  | ,kolkata,2,India,2 Years,654000,General Management,west bengal,976000
balaji institute of modern management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | ,pune,2,India,2 Years,650000,"Finance, Marketing, Operations \/ SCM \/ Production",maharashtra,4220000
n. l. dalmia institute of management studies and research,post graduate diploma in business management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA      | 2:NA      | 3:NA      | 4:NA      | 7:97.76      | 11:NA      | ,mumbai,2,India,2 Years,650000,"Finance, Marketing, Human Resources",maharashtra,930000
teri university,master of business administration,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,new delhi,2,India,2 Years,650000,Sustainability \/ Environment,delhi,1035000
universal business school,post graduate diploma in management,"CAT, GMAT, CMAT, Others",1:NA|5:NA|3:NA|10:NA,karjat,2,India,2 Years,650000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,848000
gitam school of international business,master of business administration (international business),"CAT, XAT, CMAT, MAT",1:NA     | 2:NA     | 3:NA     | 4:NA     | ,visakhapatnam,2,India,2 Years,650000,"Finance, Operations \/ SCM \/ Production, International Business",andhra pradesh,720000
accurate institute of management and technology,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,,2,India,2 Years,650000,General Management,uttar pradesh,510000
shanti business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,ahmedabad,2,India,2 Years,650000,"Finance, Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma, Agri \/ Food \/ Rural Business, International Business, Entrepreneurship & Family Business",gujarat,588000
lovely professional university,master of business administration,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,jalandhar,2,India,2 Years,650000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Strategy, Business Analytics, Healthcare \/ Hospital \/ Pharma, International Business, Retail Management, E-Commerce, Entrepreneurship & Family Business",punjab,419000
institute of business studies and research,master of business administration,"CAT, XAT, MAT, GMAT, Others, ATMA",1:NA | 2:NA | 4:NA | 5:NA | 10:NA | 11:NA | ,navi mumbai,2,India,2 Years,650000,"Finance, Marketing, Human Resources, Retail Management",maharashtra,495000
kiit school of rural management,master of business administration,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | ,bhubaneshwar,2,India,2 Years,650000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",orissa,250000
iilm college of management studies,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:700 | 5:NA | ,,2,India,2 Years,650000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Strategy, International Business, Media & Communication, Entrepreneurship & Family Business",uttar pradesh,400000
krupajal management studies,master of business administration,"MAT, CAT, XAT, Others, ATMA",4:NA|1:NA|2:NA|10:NA|11:NA,bhubaneswar,2,India,2 Years,650000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Retail Management",orissa,130000
taxila business school,post graduate diploma in business administration,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,jaipur,2,India,2 Years,650000,International Business,rajasthan,1100000
universal business school,post graduate diploma in management,"CAT, GMAT, CMAT, Others",1:NA|5:NA|3:NA|10:NA,karjat,2,India,2 Years,650000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management, Healthcare \/ Hospital \/ Pharma",maharashtra,1098000
aditya institute of management studies and research,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 10:NA | 11:NA | ,mumbai,2,India,2 Years,650000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Digital Media",maharashtra,761000
aditya institute of management studies and research,master in management studies,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA    | 2:NA    | 3:NA    | 4:NA    | 5:NA    | 7:NA    | 11:NA    | ,mumbai,2,India,2 Years,650000,"Finance, Marketing, Human Resources",maharashtra,500000
fortune institute of international business,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:50  | 2:50 | 3:50 | 4:50  | 5:NA    | 11:50 | ,new delhi,2,India,2 Years,646000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Strategy, Business Analytics, International Business",delhi,890000
